series,model,order,seasonal_order,aic,bic,test_rmse,test_mae,test_mape
Sales,SARIMA,"(0, 1, 0)","(1, 0, 1, 11)",818.5609327768317,822.8628943902871,4.108585037361147,3.445573754314995,4.008151511897975
Sales,SARIMA,"(1, 1, 0)","(1, 0, 1, 11)",1290.6084378154328,1296.3443866333735,4.168126449592192,3.5153031111957347,4.144016599315969
Sales,SARIMA,"(2, 1, 0)","(1, 0, 1, 11)",1142.2751112094525,1149.2810981177633,4.180277152956971,3.5264633555637515,4.154838329613857
Sales,SARIMA,"(0, 1, 1)","(1, 0, 1, 11)",1145.5941581929671,1151.1989477196157,4.174308831820564,3.5219943898143837,4.154856706451066
Sales,SARIMA,"(1, 1, 1)","(1, 0, 1, 11)",1189.1593590914365,1196.1653459997474,4.20044861782738,3.5442120662409904,4.175077419154256
Sales,SARIMA,"(0, 1, 2)","(1, 0, 1, 11)",1321.6420331064996,1328.478512256432,4.205498723235874,3.551064952849347,4.190554253376603
Sales,SARIMA,"(0, 0, 0)","(1, 0, 1, 11)",1329.7693235268966,1334.166531235296,5.141194447545191,4.082744430385504,4.475653566894207
Sales,SARIMA,"(1, 0, 2)","(1, 0, 1, 11)",1082.0273846938496,1090.4345689838226,4.877066494114797,3.9929955003284436,4.869176871360965
Sales,SARIMA,"(2, 0, 1)","(1, 0, 1, 11)",1056.3397288715048,1064.9436520984157,4.903461652012722,4.018951490038193,4.9005001510565265
Sales,SARIMA,"(0, 0, 2)","(1, 0, 0, 11)",182.52148942105393,188.50751966691985,4.277070851573167,3.1871382696306125,4.900978540415674
Sales,SARIMA,"(1, 0, 1)","(1, 0, 1, 11)",1196.4504906716038,1203.6204266940294,4.806658829818932,3.948669515568555,4.921456775173321
Sales,SARIMA,"(2, 0, 0)","(1, 0, 1, 11)",1114.0277230225227,1121.1976590449483,4.795567627454529,3.9421194770781636,4.937830715576516
Sales,SARIMA,"(1, 0, 0)","(1, 0, 1, 11)",1261.626811089217,1267.489754700416,4.759781906774126,3.9619605890009306,5.1526742772152385
Sales,SARIMA,"(0, 0, 1)","(1, 0, 0, 11)",198.1200115591009,202.60953424350035,4.616924257967925,3.50432544018601,5.269765777642053
Sales,SARIMA,"(0, 0, 0)","(1, 0, 0, 11)",228.25363793225256,231.24665305518553,4.241997066521822,3.2575914009146847,5.383386597244192
Sales,SARIMA,"(1, 0, 1)","(1, 0, 0, 11)",160.80646982546358,166.6694134366625,3.6149609881645928,2.46900129715496,5.7489485313901145
Sales,SARIMA,"(2, 0, 2)","(1, 0, 0, 11)",162.03093628977956,170.63485951669043,3.6457574412848515,2.487818887576538,5.970733089001066
Sales,SARIMA,"(1, 0, 0)","(1, 0, 0, 11)",160.85842465954332,165.2556323679425,3.4937240097907876,2.601874095467164,6.195957141204523
Sales,SARIMA,"(2, 0, 0)","(1, 0, 0, 11)",154.584014271939,160.3199630898796,4.5113539569764365,3.5946502702003755,6.710041677405711
Sales,SARIMA,"(1, 0, 2)","(1, 0, 0, 11)",160.15433322416646,167.4830127381651,4.366767387370511,3.23956607153527,6.935991099549295
Sales,SARIMA,"(0, 1, 1)","(1, 0, 0, 11)",159.50524333473035,163.90245104312953,4.303300565799697,3.895700124526535,8.017395901041038
